Feature ID	Taxon	Confidence
8e1668a2f77be85e97638bb6a3e61dc5	d__Eukaryota	0.7958095660715636
5c648ed1b1da0d46c2e5a1984a83b387	Unassigned	0.5800077229682753
e8a36f4362fd1bc37af872ffb2e817b7	d__Eukaryota	0.7441669519666974
7a3a917b152b91c97ec94ab4c8497bae	d__Eukaryota	0.8200038292950076
12fb6aaf237a7bda05355ad256ffd0b4	d__Eukaryota	0.842094567551737
de22b0222e720fb770459150e50845c6	d__Eukaryota	0.8303272579013304
2078d34cf783a574da1232a85fee91af	d__Eukaryota	0.9273458948553694
c8f26126803a1c7942575f1b1e195214	d__Eukaryota	0.8349347548898834
732a13704559214f4a7a3c52b7153184	Unassigned	0.5953485401906138
ea177473bf46f8f35da255b11fc0dbb4	Unassigned	0.8091508079255547
93d2e70e9619b0cb9d52713041ed57e5	Unassigned	0.5136287883126367
34358caefd80bb424df06f42cdd8d330	d__Eukaryota	0.838506602522723
7c96eb47d46901c7c46ee17dba294973	d__Eukaryota	0.8423035453801391
360d39254e4e44318e8034e5c1001199	d__Eukaryota	0.7434412264668637
fbf0173610f1135b0ef183e0e66cd7c3	d__Eukaryota	0.8628500305804321
950fb726e5fe55412f81fb649744bf78	d__Eukaryota	0.8679060149463971
9e9e85050ebeeeeab093d1c63f1c4eed	d__Eukaryota	0.8921546008800294
728b6e01b57ece9fb123a098f42737c4	d__Eukaryota	0.9353592089187588
397d0aceb4a506833593a3ed14208e3b	d__Eukaryota	0.871843326369705
18283269b1fdc8089226950f05632cba	d__Eukaryota	0.8715275275122385
ac6b211008fe243a5d5bbfc85d0ee63e	d__Eukaryota	0.8738839758537216
81155fcc8d203e101240800d861a72e3	d__Eukaryota	0.8756546079523123
87d10c226b2eca871a2dec1802d4635c	d__Eukaryota	0.8877419726820853
f1be10e2e5be08782ecc2f74430adb9e	d__Eukaryota	0.8621966687370761
62ae16d7b0e1c4189d01d6b89c29422a	d__Eukaryota	0.8735973525104441
088a69855e0438493a26ca90f6a13e5b	d__Eukaryota	0.9252515649328524
f581602126a2b60f9416f77214002c82	Unassigned	0.8523031444122582
5bfac0c754d7bfe4a4937c99f808e8fe	Unassigned	0.310237093498017
b5edf010420dbffeb4422e269fa533fb	d__Eukaryota	0.8534373525217888
909038212a34ff0efd1be50989791659	d__Eukaryota	0.9319343490319453
88b7f8887a48e822aae68b3d9691849e	Unassigned	0.3813458528535719
1286da6fea50cb21ccd624bba4927965	d__Eukaryota	0.8472830709353146
ad2b769cbbf5f22b5434022623e19746	d__Eukaryota	0.9277288881390418
7f83026d41ed72ae430948e960d023f1	d__Eukaryota	0.8354405947263619
16506d5c19ab283e0fc9758c0971396c	d__Eukaryota	0.8394422759617448
cdc9682589f3fbf7f3a140de554a009d	d__Eukaryota	0.8597717457257913
1f642f551ea132bfc5f63ac8a374f99f	d__Eukaryota	0.8330163982816039
75a11fcfd7771ca5a02bff43cea8adce	d__Eukaryota	0.9186158178216827
fd5cb57023600936d74c5a20af534f5c	d__Eukaryota	0.9057661879760521
2e8d9119981e5d8662b403705276a1cc	d__Eukaryota	0.8950291092253653
2c1dc1cb36bc2abc006d34fe6743827d	d__Eukaryota	0.8993023239294512
7228b14c8319868154461fc1b0d4fcfe	d__Eukaryota	0.9031664559184522
826da52c121b1d318b807338ad911e3e	d__Eukaryota	0.7956971906644996
01bf62132ee488de7d5a15823d79a0f6	d__Eukaryota	0.9294478244845024
993ce4350f4a3971ab3cf866ece86050	d__Eukaryota	0.9263244613166466
8f2c20a434c647db90074ab7e7f8f4ab	d__Eukaryota	0.9256468860312337
93d64beb4c694840b35e6dd571074112	d__Eukaryota	0.9113974307809849
